"fba18d3","dominic.rathbone","Tue, 12 Apr 2016 14:32:26 +0100","changed page layout",	 6 files changed, 48 insertions(+), 67 deletions(-)	
"6e9a216","dominic.rathbone","Sat, 9 Apr 2016 21:06:13 +0100","stream button now only appears when file type can be streamed",	 9 files changed, 222 insertions(+), 149 deletions(-)	
"075eb42","dominic.rathbone","Tue, 5 Apr 2016 18:49:34 +0100","refactored CSS",	 12 files changed, 622 insertions(+), 3706 deletions(-)	
"9c96a5d","dominic.rathbone","Tue, 5 Apr 2016 15:28:27 +0100","changed port",	 2 files changed, 55 insertions(+), 133 deletions(-)	
"33114a2","dominic.rathbone","Tue, 5 Apr 2016 00:23:09 +0100","added basic authentication to rooms",	 176 files changed, 25420 insertions(+), 3702 deletions(-)	
"5e2e9a9","dominic.rathbone","Sat, 2 Apr 2016 23:51:00 +0100","design pretty much finished, rooms now disconnect and display amount of users to uploader, added method to remove peer connections once closed",	 115 files changed, 19631 insertions(+), 12213 deletions(-)	
"2c82c84","dominic.rathbone","Thu, 24 Mar 2016 16:08:38 +0000","MULTIPLE PEER CONNECTIONS NOW WORK; started workin g on design of site",	 95 files changed, 25024 insertions(+), 204 deletions(-)	
"4e8cc01","dominic.rathbone","Wed, 23 Mar 2016 14:56:35 +0000","fixed iceconnectionstate failure; node implementation is now working for downloading files",	 4 files changed, 78 insertions(+), 3964 deletions(-)	
"a3c705d","dominic.rathbone","Tue, 22 Mar 2016 23:16:44 +0000","fixing firefox - iceconnectionstate failed",	 3954 files changed, 20184 insertions(+), 444344 deletions(-)	
"96b6d2a","dominic.rathbone","Wed, 16 Mar 2016 00:13:19 +0000","refactoring spring signalling server to node implementation",	 11 files changed, 3084 insertions(+), 3465 deletions(-)	
"1c3177c","dominic.rathbone","Tue, 15 Mar 2016 00:31:21 +0000","started node server implementation",	 9528 files changed, 960678 insertions(+), 209032 deletions(-)	
"591ae76","Dominic Rathbone","Mon, 14 Mar 2016 19:44:27 +0000","move to pc",	 5 files changed, 330 insertions(+), 114 deletions(-)	
"5320446","Dominic Rathbone","Tue, 23 Feb 2016 20:11:10 +0000","attempting to make the signalling server deal with multiple one-to-one connections",	 9 files changed, 347 insertions(+), 446 deletions(-)	
"1658bc6","dominic.rathbone","Sun, 31 Jan 2016 21:06:41 +0000","partially finished multiple peer connections; need to work on signalling with multiple peer connections in action",	 10 files changed, 136 insertions(+), 194 deletions(-)	
"f6e5964","Dominic Rathbone","Sun, 31 Jan 2016 17:14:13 +0000","audio fixed; attempting to get multiple peer connections working",	 5 files changed, 327 insertions(+), 287 deletions(-)	
"bd630a0","Dominic Rathbone","Tue, 26 Jan 2016 18:23:22 +0000","attempting to get audio streaming to work",	 13 files changed, 271 insertions(+), 149 deletions(-)	
"5977b75","Dominic Rathbone","Fri, 22 Jan 2016 19:08:14 +0000","attempting to get multiple peer connections to work",	 1 file changed, 4 insertions(+), 4 deletions(-)	
"d27397f","Dominic Rathbone","Fri, 22 Jan 2016 19:08:02 +0000","attempting to get multiple peer connections to work",	 12 files changed, 285 insertions(+), 156 deletions(-)	
"e39c645","Dominic Rathbone","Thu, 21 Jan 2016 16:32:03 +0000","refactored project to work in firefox; chrome no longer supported",	 1 file changed, 3 insertions(+), 3 deletions(-)	
"eda26d3","Dominic Rathbone","Thu, 21 Jan 2016 16:31:41 +0000","refactored project to work in firefox; chrome no longer supported",	 5 files changed, 369 insertions(+), 260 deletions(-)	
"1b458c6","Dominic Rathbone","Thu, 24 Dec 2015 16:32:51 +0000","added basic file transfer functionality; added basic audio streaming functionality",	 487 files changed, 141806 insertions(+), 200 deletions(-)	
"54cd605","Dominic Rathbone","Tue, 22 Dec 2015 01:11:19 +0000","added basic datachannel functionality; refactored so that app.js only communicates with p2p.js which then communicates with signaller.js",	 7 files changed, 261 insertions(+), 159 deletions(-)	
"416def0","Dominic Rathbone","Mon, 21 Dec 2015 00:48:39 +0000","added basic webrtc peerconnection functionality; restructured javascript dependencies using bower;moved client side signalling functionality into an object;",	 357 files changed, 64541 insertions(+), 91915 deletions(-)	
"0679d43","Dominic Rathbone","Tue, 15 Dec 2015 15:01:49 +0000","finished room generation for signalling",	 11 files changed, 422 insertions(+), 256 deletions(-)	
"091a1e0","dominic.rathbone","Wed, 9 Dec 2015 23:49:33 +0000","attempting to add dynamic url routing to signalling server for room pages",	 55 files changed, 92119 insertions(+), 46394 deletions(-)	
"9cafe44","dominic.rathbone","Thu, 3 Dec 2015 00:20:32 +0000","prototyping dynamic url generation",	 40 files changed, 40122 insertions(+), 2110 deletions(-)	
"3cd6084","dominic.rathbone","Tue, 1 Dec 2015 21:12:28 +0000","partially working web app prototype to test signalling server with",	 8 files changed, 7985 deletions(-)	
"c6078a6","dominic.rathbone","Tue, 1 Dec 2015 21:12:11 +0000","partially working web appprototype to test signalling server with",	 23 files changed, 8192 insertions(+), 8050 deletions(-)	
"3727960","dominic.rathbone","Mon, 30 Nov 2015 19:05:46 +0000","experimenting with backbone.js framework",	 8 files changed, 7995 deletions(-)	
"0ce9177","dominic.rathbone","Mon, 30 Nov 2015 19:03:50 +0000","experimenting with backbone.js framework",	 23 files changed, 16161 insertions(+), 168 deletions(-)	
"dbe6e83","dominic.rathbone","Wed, 25 Nov 2015 21:48:02 +0000","first draft of signalling server",	 72 files changed, 9250 insertions(+), 187 deletions(-)	
"a27da11","Dominic Rathbone","Tue, 17 Nov 2015 17:10:01 +0000","Interim Report final final final.pdf",	 6 files changed, 55 insertions(+), 57 deletions(-)	
"db0a831","Dominic Rathbone","Tue, 17 Nov 2015 17:01:25 +0000","Interim Report final final.pdf",	 6 files changed, 28 insertions(+), 36 deletions(-)	
"d0a56da","Dominic Rathbone","Tue, 17 Nov 2015 16:15:01 +0000","merged ethics form and interim report into interimreportfinal.pdf",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"3819414","Dominic Rathbone","Tue, 17 Nov 2015 16:11:38 +0000","removed todo list from interim report",	 6 files changed, 254 insertions(+), 251 deletions(-)	
"fe97d02","Dominic Rathbone","Mon, 16 Nov 2015 17:15:54 +0000","added ethics form",	 2 files changed, 0 insertions(+), 0 deletions(-)	
"c7ed26d","dominic.rathbone","Fri, 13 Nov 2015 14:47:38 +0000","first draft of interim report",	 7 files changed, 65 insertions(+), 84 deletions(-)	
"0078f5b","dominic.rathbone","Thu, 12 Nov 2015 21:46:00 +0000","updated interim report",	 7 files changed, 165 insertions(+), 124 deletions(-)	
"bee385a","dominic.rathbone","Thu, 12 Nov 2015 18:49:53 +0000","updated interim report",	 9 files changed, 148 insertions(+), 127 deletions(-)	
"8502fb4","dominic.rathbone","Wed, 11 Nov 2015 22:07:19 +0000","Updated interim report",	 8 files changed, 351 insertions(+), 174 deletions(-)	
"858e7f3","dominic.rathbone","Tue, 10 Nov 2015 23:54:42 +0000","updated interim report",	 8 files changed, 142 insertions(+), 167 deletions(-)	
"50749c5","dominic.rathbone","Mon, 9 Nov 2015 18:00:47 +0000","updated interim report",	 7 files changed, 359 insertions(+), 312 deletions(-)	
"a03ba9d","Dominic Rathbone","Sat, 7 Nov 2015 15:27:09 +0000","updated interim report",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"e566083","Dominic Rathbone","Sat, 7 Nov 2015 15:25:52 +0000","updated interim report",	 1 file changed, 2 insertions(+), 2 deletions(-)	
"14f0f4f","Dominic Rathbone","Fri, 6 Nov 2015 15:46:28 +0000","updated interim report",	 9 files changed, 389 insertions(+), 278 deletions(-)	
"36009ca","Dominic Rathbone","Thu, 5 Nov 2015 15:45:49 +0000","updated interim report",	 1 file changed, 43 insertions(+), 20 deletions(-)	
"e067f57","dominic.rathbone","Tue, 3 Nov 2015 20:48:56 +0000","updated interim report",	 7 files changed, 108 insertions(+), 49 deletions(-)	
"3ab47a7","dominic.rathbone","Mon, 2 Nov 2015 19:35:24 +0000","updated interim report",	 7 files changed, 486 insertions(+), 160 deletions(-)	
"0ac3b2f","Dominic Rathbone","Mon, 2 Nov 2015 17:10:37 +0000","updated interim report!",	 5 files changed, 64 insertions(+), 17 deletions(-)	
"3a797d3","Dominic Rathbone","Thu, 29 Oct 2015 16:10:22 +0000","updated interim report",	 7 files changed, 122 insertions(+), 87 deletions(-)	
"4632d7c","dominic.rathbone","Wed, 28 Oct 2015 15:13:50 +0000","updated interim report",	 6 files changed, 30 insertions(+), 26 deletions(-)	
"ba55ac9","dominic.rathbone","Tue, 27 Oct 2015 18:14:12 +0000","updated interim report",	 13 files changed, 261 insertions(+), 198 deletions(-)	
